Field_No_,Latitude,Longitude,UTM_E,UTM_N,Location_Area,Stratigraphy,Al_per,Ca_per,Fe_per,K_per,Mg_per,P_per,S_per,SO3_from_S,pct_alunite_from_SO3,pct_alunite_from_K2O,Si_per,Ti_per,Ag_ppm,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,La_ppm,Li_ppm,Lu_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,S_per_1,Al2O3_per,BaO_per,CaO_per,Cr2O3_per,Fe2O3_per,K2O_per,LOI_per,MgO_per,MnO_per,Na2O_per,P2O5_per,SiO2_per,SrO_per,TiO2_per,V2O5_per
AL24AR001,38.05109081,-113.6597354,266625.12,4214823.09,PV area,"Rhyolite tuffs and related clastic deposits, undivided",6.53,0.3,1.43,1.8,0.06,0.06,2.91,7.3,18.8,18.9,>30.0,0.21,-1,-5,-10,409,-5,0.2,-0.2,139,-0.5,30,0.3,-10,15.52,9.95,1.07,17,13.1,-1,5,3.29,-0.2,57.3,-10,1.36,27,-2,17,55.9,8,23,16.68,19.3,-0.02,0.4,6,-1,12.6,2,101,1.2,2.36,-0.05,23,-0.5,1.54,3.43,36,2,96.8,9.9,16,153,,12.75,0.05,0.25,-0.01,2.12,2.15,13.4546,0.12,-0.01,0.1,0.13,67.51,0.02,0.37,-0.01
AL24AR002,38.05188596,-113.6597654,266625.02,4214911.41,PV area,"Rhyolite tuffs and related clastic deposits, undivided",3.04,0.3,0.33,1.2,0.03,0.03,2.12,5.3,13.7,12.2,>30.0,0.08,-1,-5,-10,201,-5,0.5,-0.2,30.8,-0.5,48,0.4,-10,4.31,3.71,0.05,16,2.16,-1,9,1.02,-0.2,14.9,-10,0.83,40,13,90,10.4,11,28,3.28,22.1,-0.02,0.5,-5,-1,2,10,77,7.6,0.51,-0.05,41,-0.5,0.68,9.44,17,2,29,5.3,-5,130,,5.78,0.02,0.34,-0.01,0.49,1.39,7.65,0.08,0.01,0.09,0.06,82.81,0.01,0.13,-0.01
AL24AR003,38.05242861,-113.6587791,266713.3,4214969.16,PV area,"Rhyolite tuffs and related clastic deposits, undivided",7.45,0.6,0.72,3.2,0.02,0.03,5.83,14.6,37.7,31.8,26.9,0.03,-1,-5,-10,237,-5,0.3,-0.2,114,-0.5,35,0.3,-10,2.17,2.27,0.18,14,3.6,-1,4,0.57,-0.2,72.8,-10,0.5,15,36,40,22.7,12,53,8.92,33.2,-0.02,0.7,-5,-1,6.2,6,237,3.3,0.33,-0.05,44.1,-0.5,0.42,5.6,28,7,15.8,3.3,6,61.1,,14.43,0.03,0.7,-0.01,1.09,3.62,17.29,0.05,-0.01,0.31,0.08,58.83,0.03,0.05,-0.01
AL24AR004,38.05165263,-113.6574649,266826.16,4214879.74,PV area,"Rhyolite tuffs and related clastic deposits, undivided",2.73,0.4,0.07,1.2,0.03,-0.01,1.98,4.9,12.8,11.4,>30.0,0.03,-1,-5,-10,61,-5,0.3,-0.2,13.4,-0.5,39,0.7,-10,2.5,2.2,0.06,14,1.11,-1,7,0.59,-0.2,8.1,-10,0.44,43,7,75,4,8,18,1.28,21,-0.02,0.5,-5,-1,1.2,10,49,6.9,0.27,-0.05,27.4,-0.5,0.41,6.83,7,1,16,3,6,103,,5.18,-0.01,0.42,-0.01,0.09,1.3,6.87931,0.07,-0.01,0.1,0.02,84.35,-0.01,0.06,-0.01
AL24AR005,38.05078339,-113.6567917,266882.48,4214781.58,PV area,"Rhyolite tuffs and related clastic deposits, undivided",11.82,-0.1,0.03,5.2,-0.01,0.05,9.48,23.7,61.2,54.4,16.4,0.03,-1,-5,-10,235,-5,0.2,-0.2,49.6,-0.5,23,0.1,-10,1.08,1.05,-0.05,47,0.46,-1,5,0.28,-0.2,40.9,-10,0.27,-10,2,61,6,-5,134,3.07,22.8,-0.02,0.5,-5,-1,0.5,13,408,5,0.13,-0.05,20.3,-0.5,0.2,3.49,44,4,6.7,1.7,7,79.8,,23.16,0.03,0.07,-0.01,0.03,6.19,27.1346,0.01,-0.01,0.31,0.1,36.7,0.04,0.06,0.01
AL24AR006,38.05064902,-113.6554471,267000.06,4214763.29,PV area,Intracaldera member of Wah Wah Springs Formation,6.77,1.6,0.93,3.1,0.22,0.07,5.53,13.8,35.7,31.9,25,0.49,-1,-5,-10,617,-5,0.1,-0.2,86.5,0.5,44,-0.1,-10,2.66,1.83,0.78,15,2.65,-1,6,0.58,-0.2,42.7,-10,0.34,-10,4,9,27.3,8,26,8.57,7.2,-0.02,0.2,15,-1,3.8,1,541,-0.5,0.39,-0.05,17,-0.5,0.31,2.15,100,-1,14.2,2.1,-5,191,,13.15,0.06,2.2,0.01,1.34,3.63,16.67,0.38,-0.01,0.23,0.15,55.52,0.07,0.86,0.02
AL24AR007,38.05075317,-113.6542693,267103.75,4214771.9,PV area,Intracaldera member of Wah Wah Springs Formation,0.26,0.1,0.35,-0.1,-0.01,0.01,0.03,0.1,0.2,0.3,>30.0,0.27,-1,7,-10,72,-5,-0.1,-0.2,31,1.3,161,0.2,-10,2.29,1.6,0.15,1,1.7,-1,10,0.51,-0.2,13.7,-10,0.29,56,36,17,11.5,15,46,3.18,1.4,-0.02,1,-5,-1,2,1,45,0.9,0.3,-0.05,16.1,-0.5,0.25,4.38,34,4,14,1.8,-5,349,,0.52,0.01,0.08,0.01,0.35,0.03,0.43991,0.03,-0.01,0.02,0.03,97.86,-0.01,0.49,-0.01
AL24AR008,38.05013025,-113.6541422,267112.93,4214702.45,PV area,Intracaldera member of Wah Wah Springs Formation,0.2,0.2,0.26,0.1,-0.01,-0.01,0.01,0,0.1,0.4,>30.0,0.18,-1,7,-10,49,-5,-0.1,-0.2,10.2,0.8,97,0.2,-10,0.84,0.73,0.09,1,0.56,-1,6,0.2,-0.2,6.1,-10,0.17,50,23,11,3.4,11,18,0.93,1.9,-0.02,1,-5,-1,0.6,-1,13,0.6,0.1,-0.05,12.2,-0.5,0.14,3.28,24,6,6.1,1,-5,232,,0.4,-0.01,0.19,0.02,0.43,0.04,0.56006,0.03,-0.01,0.01,0.02,97.23,-0.01,0.32,-0.01
AL24AR009,38.05089252,-113.6577693,266797.04,4214796.15,PV area,"Rhyolite tuffs and related clastic deposits, undivided",3.2,0.9,0.06,1.5,0.01,0.02,2.39,6,15.4,14.2,>30.0,0.09,-1,6,12,172,-5,0.3,-0.2,43.9,-0.5,31,0.5,-10,2.2,1.86,0.07,15,1.11,-1,8,0.51,-0.2,22.6,-10,0.39,35,5,86,9.6,7,35,3.85,16.9,-0.02,0.5,-5,-1,1.1,11,94,6.1,0.28,-0.05,24.3,-0.5,0.35,9.32,16,3,14,2.6,-5,139,,6.16,0.02,1.28,-0.01,0.08,1.61,7.88079,0.05,-0.01,0.05,0.04,79.97,0.01,0.16,-0.01
AL24AR010,38.05155869,-113.6593713,266658.57,4214874.1,PV area,"Rhyolite tuffs and related clastic deposits, undivided",2.89,0.4,0.09,1.3,0.02,0.01,2.08,5.2,13.4,11.8,>30.0,0.06,-1,-5,-10,84,-5,0.4,-0.2,16.2,-0.5,40,0.3,-10,3.62,3.19,0.05,19,1.65,-1,9,0.87,-0.2,7.9,-10,0.75,41,9,89,5.2,10,27,1.62,17,-0.02,0.4,-5,-1,1.3,12,61,7.3,0.44,-0.05,41,-0.5,0.64,7.49,9,2,23.6,4.9,-5,137,,5.4,-0.01,0.4,-0.01,0.09,1.34,7.31,0.04,-0.01,0.07,0.02,84.04,0.01,0.11,-0.01
AL24AR011,38.05745553,-113.6953428,263520.73,4215619.54,Typhoid Spring area,Lund Formation,7.59,0.1,1.07,0.1,-0.01,0.07,0.11,0.3,0.7,0.7,>30.0,0.22,-1,-5,-10,495,-5,-0.1,-0.2,102,-0.5,41,0.3,-10,0.85,0.48,1.27,17,2.71,1,3,0.16,-0.2,45.4,-10,0.09,27,6,9,46.3,7,18,12.22,3.2,-0.02,0.3,5,-1,7.1,1,764,0.8,0.21,-0.05,19.7,-0.5,0.07,3.61,53,1,3.6,0.5,-5,112,,14.77,0.06,0.06,-0.01,1.57,0.08,5.80826,0.02,-0.01,0.02,0.15,76.63,0.09,0.4,0.01
AL24AR012,38.05734396,-113.6953487,263519.86,4215607.17,Typhoid Spring area,Lund Formation,7.38,0.7,4.28,0.3,0.04,0.06,0.49,1.2,3.2,2.5,>30.0,0.31,-1,6,-10,800,-5,0.1,-0.2,57.5,1.1,52,0.2,-10,1.36,0.86,0.55,21,1.67,1,5,0.31,-0.2,32.7,10,0.15,22,7,14,20.4,8,15,5.91,2.2,-0.02,0.4,6,-1,2.6,2,315,1.1,0.24,-0.05,12.4,-0.5,0.14,3.17,87,1,8,1,6,177,,13.21,0.09,0.87,-0.01,6.23,0.28,6.88931,0.09,-0.01,0.05,0.13,70.99,0.04,0.55,0.02
AL24AR013,38.06545087,-113.6419002,268235.66,4216372.13,Red Bird area,"Rhyolite tuffs and related clastic deposits, undivided",6.52,0.2,0.2,4.5,0.01,-0.01,0.01,0,0.1,48.5,>30.0,0.04,-1,7,12,-10,-5,0.2,-0.2,14.5,-0.5,15,3.1,-10,1.21,1.2,-0.05,24,0.62,2,9,0.34,-0.2,9.9,33,0.31,35,3,84,2.5,11,44,0.92,597,-0.02,0.3,-5,-1,0.5,5,12,6.8,0.16,-0.05,34.5,3.2,0.25,8.46,8,5,9.3,2,6,154,,12.07,-0.01,0.16,-0.01,0.29,5.51,1.54985,0.03,-0.01,1.64,-0.01,78.1,-0.01,0.08,-0.01
AL24AR014,38.06529597,-113.6421826,268210.39,4216355.64,Red Bird area,"Rhyolite tuffs and related clastic deposits, undivided?",6.67,0.2,0.26,4.8,0.01,-0.01,-0.01,0,-0.1,53.9,>30.0,0.05,-1,-5,14,-10,7,-0.1,-0.2,12.5,-0.5,11,4.9,-10,1.01,0.96,-0.05,25,0.67,2,9,0.26,-0.2,8.2,40,0.24,51,-2,92,3.5,6,33,1.15,675,-0.02,0.3,-5,-1,0.7,5,12,7.4,0.15,-0.05,12.5,2,0.18,9.27,-5,5,6.8,1.6,19,157,,12.65,-0.01,0.13,-0.01,0.39,6.13,1.33973,0.03,-0.01,1.99,-0.01,76.83,0.01,0.08,-0.01
AL24AR015,38.06491601,-113.6426791,268165.63,4216314.71,Red Bird area,Rhyolite member of Steamboat Mountain Formation,6.29,0.3,0.11,3.8,0.05,-0.01,0.04,0.1,0.3,41.3,>30.0,0.04,-1,-5,14,14,-5,-0.1,-0.2,14.3,-0.5,13,3,-10,1.11,1.11,-0.05,24,0.58,2,9,0.31,-0.2,10.1,15,0.29,41,-2,88,2.7,6,33,1,522,-0.02,0.3,-5,-1,0.4,6,18,7.1,0.14,-0.05,44.7,1.9,0.22,10.41,-5,4,7.1,1.9,11,149,,11.93,-0.01,0.4,-0.01,0.15,4.7,2.24933,0.1,0.01,1.76,-0.01,78.24,0.01,0.08,-0.01
AL24AR016,38.06537566,-113.6433053,268112.14,4216367.29,Red Bird area,Rhyolite member of Steamboat Mountain Formation,6.49,0.2,0.71,3.9,0.05,-0.01,0.02,0,0.1,42.6,>30.0,0.04,-1,-5,20,10,7,-0.1,-0.2,23.5,-0.5,15,3.8,-10,3.25,2.82,-0.05,25,1.48,2,9,0.81,-0.2,12.6,51,0.63,346,6,88,5.3,6,66,1.86,570,-0.02,0.4,-5,-1,1.3,7,-10,7.2,0.38,-0.05,84.2,4.5,0.55,12.26,-5,5,16.3,4.4,34,154,,12.08,-0.01,0.21,-0.01,1.04,4.84,0.86009,0.08,0.06,3.14,0.01,76.84,-0.01,0.08,-0.01
AL24AR017,38.06455044,-113.6438883,268058.38,4216277.16,Red Bird area,Rhyolite member of Steamboat Mountain Formation,6.5,0.2,0.17,3.7,0.04,-0.01,0.01,0,0.1,40.2,>30.0,0.04,-1,-5,14,10,-5,1.5,-0.2,17.2,-0.5,-10,3,-10,2.05,1.89,-0.05,26,1.07,2,9,0.52,-0.2,11.5,24,0.45,64,-2,90,3.9,6,36,1.32,516,-0.02,0.4,-5,-1,0.9,6,-10,7.3,0.25,-0.05,43.3,2.6,0.38,9.82,-5,4,12.6,3.1,11,156,,12.2,-0.01,0.22,-0.01,0.24,4.57,1.45971,0.07,0.01,2.46,0.01,78.01,-0.01,0.08,-0.01
AL24AR018,38.06410552,-113.6435971,268082.52,4216227.06,Red Bird area,Rhyolite member of Steamboat Mountain Formation?,7.14,0.9,0.12,-0.1,0.02,-0.01,0.01,0,0.1,0.3,>30.0,0.05,-1,13,-10,17,5,-0.1,-0.2,17.4,-0.5,16,0.8,-10,1.16,1.12,-0.05,27,0.63,2,10,0.3,-0.2,21.1,50,0.29,48,5,101,2.4,8,37,1.24,3.3,-0.02,0.7,-5,-1,0.5,17,28,8,0.13,-0.05,60.7,-0.5,0.22,12.96,7,6,10.2,1.8,18,164,,13.22,-0.01,1.16,-0.01,0.16,0.03,6.17938,0.05,-0.01,0.03,-0.01,78.68,-0.01,0.08,-0.01
AL24AR019,38.06297421,-113.645909,267876.09,4216107.28,Red Bird area,Rhyolite member of Steamboat Mountain Formation,3.87,0.2,0.03,0.2,0.01,-0.01,0.1,0.2,0.6,0.8,>30.0,0.09,-1,-5,-10,51,-5,0.7,-0.2,32,-0.5,21,2.7,-10,3.46,3.34,-0.05,12,1.42,-1,6,0.94,-0.2,23.9,-10,0.71,11,4,51,6.2,11,35,2.43,7.5,-0.02,0.4,-5,-1,1,6,61,3.7,0.38,-0.05,16.8,-0.5,0.61,5.26,-5,4,33.4,4.6,-5,152,,7.01,-0.01,0.08,-0.01,0.03,0.09,4.26829,0.05,-0.01,0.16,0.03,87.56,-0.01,0.17,-0.01
AL24AR020,38.06353942,-113.6462227,267850.35,4216170.79,Red Bird area,Rhyolite member of Steamboat Mountain Formation,6.87,0.5,0.12,0.4,0.03,-0.01,0.46,1.1,3,3,>30.0,0.04,-1,7,-10,13,-5,-0.1,-0.2,12.2,-0.5,14,1.2,-10,0.83,0.86,-0.05,28,0.51,2,8,0.22,-0.2,11,48,0.21,64,3,94,2.6,-5,54,0.98,12.3,-0.02,0.2,-5,-1,0.5,-1,26,7.5,0.11,-0.05,14.4,-0.5,0.15,11.21,-5,6,6.1,1.4,10,145,,12.8,0.01,0.54,-0.01,0.16,0.34,6.9707,0.06,-0.01,0.14,0.01,78.19,-0.01,0.07,-0.01
AL24AR021,38.06493485,-113.6452681,267938.52,4216323.27,Red Bird area,Rhyolite member of Steamboat Mountain Formation,7.11,0.2,0.7,0.1,0.01,-0.01,0.01,0,0.1,0.4,>30.0,0.04,-1,5,15,18,-5,0.1,-0.2,11.6,-0.5,22,1.2,-10,2.7,2.21,-0.05,28,1.61,1,9,0.67,-0.2,7.8,59,0.49,176,7,93,3.7,10,26,1.02,7.6,-0.02,0.3,-5,-1,1,5,12,7.3,0.35,-0.05,57.1,-0.5,0.41,10.92,-5,6,27.4,3.1,18,152,,13.09,-0.01,0.1,-0.01,1.01,0.05,5.34893,0.03,0.03,-0.01,0.01,79.76,-0.01,0.08,-0.01
AL24AR022,38.06425698,-113.6452728,267935.96,4216248.05,Red Bird area,Rhyolite member of Steamboat Mountain Formation,2.63,0.2,0.09,0.4,0.03,-0.01,0.64,1.6,4.1,4.4,>30.0,0.05,-1,-5,-10,18,-5,-0.1,-0.2,10.8,-0.5,19,0.9,-10,0.83,0.74,-0.05,19,0.48,-1,11,0.2,-0.2,10.9,44,0.18,58,3,113,2.1,7,38,0.73,12.7,-0.02,-0.1,-5,-1,0.5,3,19,9,0.1,-0.05,11.9,-0.5,0.14,13.73,-5,7,5.5,1.1,10,192,,5.18,-0.01,0.25,-0.01,0.14,0.5,5.05949,0.06,-0.01,0.19,-0.01,87.86,-0.01,0.09,-0.01
AL24AR023,38.06383053,-113.6453205,267930.44,4216200.85,Red Bird area,Rhyolite member of Steamboat Mountain Formation,5.85,0.3,0.06,0.1,0.03,-0.01,0.04,0.1,0.3,0.6,>30.0,0.05,-1,8,11,14,-5,0.2,-0.2,10.8,-0.5,11,2.1,-10,0.74,0.77,-0.05,31,0.43,2,10,0.21,-0.2,11.6,44,0.2,33,2,103,1.6,8,29,0.61,8.6,-0.02,0.2,-5,-1,0.3,3,23,8.1,0.09,-0.05,12.2,-0.5,0.15,10.79,-5,5,5.3,1.2,7,181,,11.09,-0.01,0.39,-0.01,0.07,0.07,4.94901,0.06,-0.01,0.08,-0.01,82.61,0.02,0.08,-0.01
AL25JM001,38.050637,-113.660114,266590.5,4214773.72,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.82,2.9,0.24,0.5,0.3,0.05,1.41,3.5,9.1,5.2,>30.0,0.17,-1,-5,15,580,-5,0.2,-0.2,83.6,-0.5,15,0.1,-10,1.89,1.23,0.54,18,3.07,-1,6,0.4,-0.2,43.4,12,0.28,33,4,24,31.5,-5,21,9.74,3,-0.02,0.6,-5,-1,5.4,3,245,1.8,0.42,-0.05,22.8,-0.5,0.24,4.26,40,2,10,1.7,-5,166,,12.64,0.06,3.8,-0.01,0.33,0.59,11.9976,0.47,-0.01,0.19,0.11,68.02,0.04,0.29,0.01
AL25JM002,38.050219,-113.661691,266450.74,4214731.22,PV,"Rhyolite tuffs and related clastic deposits, undivided",3.79,-0.1,0.12,1.5,0.01,0.03,2.67,6.7,17.2,15,>30.0,0.19,-1,-5,-10,346,-5,0.2,-0.2,51.3,-0.5,45,0.4,-10,0.86,0.72,0.21,13,1.22,-1,5,0.2,-0.2,26.5,-10,0.19,12,10,12,18.4,10,15,5.84,18.7,-0.02,0.4,-5,-1,2.6,2,387,0.8,0.15,-0.05,27.2,-0.5,0.15,4.05,25,6,5.5,1.1,-5,158,,6.82,0.03,0.15,-0.01,0.15,1.7,9.15908,0.02,-0.01,0.12,0.06,80.97,0.04,0.31,-0.01
AL25JM003,38.049562,-113.662469,266380.4,4214660.25,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.42,0.1,0.06,3.2,0.03,0.04,6.17,15.4,39.9,34.1,27.4,0.18,-1,6,-10,1041,-5,-0.1,-0.2,42.7,-0.5,27,0.9,-10,0.82,0.55,0.34,20,1.32,-1,4,0.16,-0.2,24.9,-10,0.12,20,4,10,13.8,-5,17,4.43,22,-0.02,0.9,-5,-1,2.2,1,258,0.8,0.17,-0.05,9.6,-0.5,0.09,1.48,53,1,4.2,0.6,-5,151,,16.11,0.13,0.24,-0.01,0.09,3.88,16.2084,0.06,0.01,0.42,0.12,58.66,0.03,0.33,-0.01
AL25JM004,38.049101,-113.663387,266298.36,4214611.41,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.31,0.1,0.19,2.2,0.04,0.05,3.86,9.6,24.9,22.4,>30.0,0.27,-1,-5,-10,674,-5,-0.1,-0.2,52.3,-0.5,19,0.8,-10,1.2,0.81,0.33,16,1.44,-1,5,0.25,-0.2,30.9,-10,0.17,21,-2,13,16.6,5,20,5.52,11.7,-0.02,0.3,-5,-1,2.3,2,186,0.9,0.21,-0.05,13.6,-0.5,0.14,2.8,43,-1,6.9,1.1,-5,157,,9.8,0.09,0.21,-0.01,0.26,2.55,14.0672,0.06,-0.01,0.19,0.12,70.52,0.01,0.46,0.01
AL25JM005,38.048508,-113.664389,266208.47,4214548.17,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.28,0.9,0.04,2.2,0.21,0.1,3.93,9.8,25.4,22.5,>30.0,0.24,-1,-5,-10,712,-5,0.1,-0.2,109,0.8,26,-0.1,-10,1.46,0.98,0.59,13,2.06,-1,6,0.34,-0.2,53.9,-10,0.21,185,2,13,39.8,9,20,12.96,7,-0.02,0.3,-5,-1,4.8,2,425,1,0.27,-0.05,24.2,-0.5,0.18,3.62,45,1,7.8,1.4,-5,196,,9.8,0.09,1.18,-0.01,0.05,2.56,14.1686,0.35,0.02,0.14,0.23,69.22,0.05,0.42,0.01
AL25JM006,38.047987,-113.665439,266114.68,4214492.95,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.72,0.1,0.05,3.1,0.01,0.05,6.32,15.8,40.8,31.8,27.1,0.12,-1,11,-10,416,-5,0.1,-0.2,78.8,0.5,36,-0.1,-10,0.96,0.78,0.28,14,0.94,-1,4,0.21,-0.2,50.2,11,0.17,47,-2,13,15.7,15,24,6.89,62.8,-0.02,0.2,-5,-1,1.4,2,329,1,0.15,-0.05,42.4,-0.5,0.15,10.92,58,-1,5.7,1.2,6,107,,16.03,0.05,0.21,-0.01,0.06,3.61,19.7461,0.02,0.01,0.58,0.11,55.88,0.04,0.2,0.01
AL25JM007,38.047242,-113.666445,266024.04,4214412.79,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.99,0.4,0.07,2,0.02,0.03,4.27,10.7,27.6,20.2,>30.0,0.08,-1,5,-10,406,-5,0.1,-0.2,58.6,-0.5,15,0.2,-10,1.11,1.01,0.54,11,2.21,1,3,0.31,-0.2,24.1,-10,0.25,33,2,21,34.7,-5,12,8.46,20,-0.02,0.2,-5,-1,8.4,3,147,1.7,0.19,-0.05,40.2,-0.5,0.21,5.71,36,1,7.6,1.6,-5,71.8,,11.16,0.04,0.57,-0.01,0.09,2.3,14.8156,0.04,0.01,0.54,0.08,68.35,-0.01,0.14,-0.01
AL25JM008,38.046458,-113.666683,266000.65,4214326.41,PV,"Rhyolite tuffs and related clastic deposits, undivided",5.41,0.8,0.09,1.9,0.05,0.02,4.41,11,28.5,19.3,>30.0,0.14,-1,-5,-10,459,-5,0.1,-0.2,37.3,-0.5,16,-0.1,-10,0.75,0.69,0.1,13,0.4,-1,5,0.19,-0.2,24.8,-10,0.19,-10,-2,17,5.8,-5,15,2.87,21.6,-0.02,0.2,-5,-1,0.6,2,139,1.3,0.09,-0.05,16.7,-0.5,0.14,4.27,19,1,4.9,1.1,-5,152,,10.09,0.08,1.15,-0.01,0.13,2.2,15.05,0.09,-0.01,0.71,0.05,67.52,0.02,0.25,-0.01
AL25JM009,38.045624,-113.666674,265998.77,4214233.88,PV,"Rhyolite tuffs and related clastic deposits, undivided",3.74,3.6,1.15,1.1,0.39,0.04,2.36,5.9,15.2,10.8,>30.0,0.18,-1,-5,12,318,-5,-0.1,-0.2,93.4,0.6,20,0.1,12,1.53,1.06,0.45,13,1.91,-1,4,0.33,-0.2,50.7,21,0.22,38,3,12,33.7,9,19,10.73,9.1,-0.02,0.3,-5,-1,4.1,2,257,0.8,0.26,-0.05,14,-0.5,0.21,4.36,32,2,8.8,1.6,-5,125,,6.97,0.04,4.7,-0.01,1.61,1.23,10.4979,0.61,-0.01,0.22,0.09,70.31,0.04,0.29,-0.01
AL25JM010,38.044971,-113.666441,266017.16,4214160.82,PV,"Rhyolite tuffs and related clastic deposits, undivided",7.85,0.6,0.19,3.2,0.11,0.06,6.05,15.1,39.1,33.4,26.9,0.24,-1,-5,-10,807,-5,0.1,-0.2,36.8,-0.5,26,-0.1,-10,1.52,1.17,0.27,13,1.28,-1,5,0.37,-0.2,21.1,-10,0.29,24,2,11,13.3,-5,14,4.22,12,-0.02,0.3,6,-1,2,1,251,0.8,0.21,-0.05,16.9,-0.5,0.24,4.61,85,2,9.6,2,-5,184,,14.57,0.09,0.86,-0.01,0.27,3.8,18.6644,0.17,-0.01,0.24,0.14,57.12,0.03,0.4,0.02
AL25MH002,38.04998,-113.661257,266488.02,4214703.66,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.5,-0.1,0.12,3.5,-0.01,0.14,6.14,15.3,39.7,35.5,27.2,0.27,-1,-5,-10,559,-5,0.1,-0.2,194,-0.5,28,0.1,-10,8.92,5.15,2.16,29,13.51,-1,6,1.76,-0.2,85.9,-10,0.78,13,8,16,109,6,25,27.67,11.8,-0.02,0.5,-5,-1,23.8,2,1051,1.2,1.64,-0.05,37.5,-0.5,0.82,3.99,56,2,48.5,5.6,-5,188,,15.75,0.09,0.14,-0.01,0.16,4.04,18.9762,0.01,-0.01,0.18,0.33,56.45,0.11,0.46,0.01
AL25MH003,38.049167,-113.66217,266405.32,4214615.69,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.68,0.7,0.27,2.6,0.05,0.06,4.91,12.3,31.7,25.4,>30.0,0.26,-1,-5,-10,663,-5,0.1,-0.2,66.4,-0.5,24,0.3,-10,2.14,1.3,0.76,15,3.1,-1,5,0.43,-0.2,30.2,-10,0.25,12,-2,13,31.4,-5,13,8.66,26.9,-0.02,0.3,-5,-1,5.8,1,255,0.9,0.39,-0.05,14.3,-0.5,0.24,2.21,51,-1,11.1,1.7,-5,150,,12.13,0.08,0.93,-0.01,0.37,2.89,15.4029,0.08,-0.01,0.27,0.14,64.72,0.04,0.43,-0.01
AL25MH004,38.048678,-113.662948,266335.54,4214563.44,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.13,-0.1,0.07,2.4,-0.01,0.04,4.5,11.2,29.1,24.5,>30.0,0.2,-1,-5,-10,845,-5,-0.1,-0.2,33.3,-0.5,43,0.2,-10,2.99,1.68,0.54,11,2.93,-1,6,0.61,-0.2,17.6,-10,0.27,21,2,13,15.3,-5,14,4.17,33.5,-0.02,0.5,5,-1,2.8,2,161,1,0.51,-0.05,14.7,-0.5,0.25,3.01,35,-1,17.6,1.7,-5,190,,11.3,0.11,0.1,-0.01,0.1,2.78,14.3086,0.02,-0.01,0.24,0.09,68.23,0.02,0.35,-0.01
AL25MH005,38.047439,-113.664812,266167.95,4214430.57,PV,"Rhyolite tuffs and related clastic deposits, undivided",0.09,-0.1,0.06,-0.1,-0.01,0.01,0.03,0.1,0.2,0.1,>30.0,0.12,-1,-5,-10,292,-5,0.2,-0.2,2.3,-0.5,27,0.6,-10,0.76,0.67,-0.05,-1,0.37,-1,5,0.18,-0.2,1.1,-10,0.18,14,6,24,0.8,6,17,0.25,1.4,-0.02,0.3,-5,-1,0.2,3,29,1.8,0.09,-0.05,8.4,-0.5,0.14,4.56,-5,1,5.2,1.1,-5,126,,0.17,0.04,0.05,-0.01,0.09,0.01,0.42987,-0.01,-0.01,-0.01,0.03,99.3,-0.01,0.22,-0.01
AL25MH006,38.046923,-113.665909,266070.05,4214376.07,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.15,1,0.04,2.5,0.14,0.03,5.51,13.8,35.6,25,28.4,0.07,-1,-5,-10,457,-5,0.3,-0.2,57.7,-0.5,13,0.4,-10,3.46,3.53,0.16,23,1.62,-1,6,0.92,-0.2,36.5,13,0.94,11,-2,52,14,7,21,5.23,27.3,-0.02,0.2,-5,-1,2.4,6,136,3.7,0.39,-0.05,27.3,-0.5,0.73,9.45,20,-1,22.4,6,7,125,,14.68,0.05,1.26,-0.01,0.04,2.84,18.13,0.22,-0.01,0.58,0.07,59.01,0.01,0.12,-0.01
